bookingStatus,status1Day,status1Month,status1Week,status2Days,labels,travelClass
61,28.0,30.0,42.39598732840549,41.076940084015035,0,3
324,41.1812942532521,110.0,42.39598732840549,41.076940084015035,0,3
165,11.0,36.0,44.0,76.0,0,3
75,47.0,40.13770644335892,42.39598732840549,41.076940084015035,0,1
72,37.0,52.0,42.39598732840549,41.076940084015035,0,3
375,131.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
12,11.0,11.0,42.39598732840549,41.076940084015035,0,3
37,41.1812942532521,4.0,42.39598732840549,41.076940084015035,0,1
211,17.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
27,8.0,15.0,42.39598732840549,41.076940084015035,0,3
25,41.1812942532521,17.0,42.39598732840549,41.076940084015035,0,3
124,37.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
114,57.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
381,110.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
202,28.0,69.0,74.0,41.076940084015035,0,3
79,59.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
61,27.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
29,13.0,24.0,42.39598732840549,41.076940084015035,0,3
30,14.0,40.13770644335892,42.39598732840549,41.076940084015035,0,1
105,41.1812942532521,40.13770644335892,36.0,41.076940084015035,0,3
131,63.0,6.0,15.0,41.076940084015035,0,3
56,35.0,40.0,42.39598732840549,41.076940084015035,0,3
374,65.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
13,6.0,6.0,42.39598732840549,41.076940084015035,0,1
226,81.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
243,17.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
199,49.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
228,21.0,73.0,42.39598732840549,41.076940084015035,0,3
41,28.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
10,41.1812942532521,40.13770644335892,42.39598732840549,41.076940084015035,0,0
39,28.0,24.0,28.0,41.076940084015035,0,1
69,41.1812942532521,40.13770644335892,59.0,41.076940084015035,0,3
157,41.1812942532521,40.13770644335892,51.0,41.076940084015035,0,3
243,37.0,53.0,62.0,41.076940084015035,0,3
126,12.0,40.13770644335892,21.0,41.076940084015035,0,3
65,47.0,6.0,42.39598732840549,41.076940084015035,0,1
66,47.0,7.0,42.39598732840549,41.076940084015035,0,1
7,3.0,40.13770644335892,42.39598732840549,41.076940084015035,0,5
78,16.0,40.13770644335892,42.39598732840549,41.076940084015035,0,1
7,41.1812942532521,40.13770644335892,42.39598732840549,3.0,1,1
96,40.0,44.0,60.0,43.0,0,3
64,41.1812942532521,40.13770644335892,42.39598732840549,17.0,0,3
39,41.1812942532521,16.0,35.0,41.076940084015035,0,3
5,41.1812942532521,40.13770644335892,42.39598732840549,41.076940084015035,1,3
39,25.0,40.13770644335892,43.0,2.0,0,3
43,1.0,40.13770644335892,7.0,41.076940084015035,0,1
